ChildID,method,minutes,seconds
1,obs,14.5,870
2,obs,5.75,345
7,obs,13,780
9,obs,18.75,1125
10,obs,16,960
12,obs,12,720
15,obs,6,360
24,obs,18.75,1125
29,obs,19.75,1185
30,obs,7.5,450
1,flh,14,840
2,flh,6,360
7,flh,14.25,855
9,flh,16,960
10,flh,15.75,945
12,flh,8.25,495
15,flh,5.75,345
24,flh,18.5,1110
29,flh,21.25,1275
30,flh,8,480
1,labh,11.5,690
2,labh,1.75,105
7,labh,10.25,615
9,labh,9.75,585
10,labh,9.75,585
12,labh,11.25,675
15,labh,3,180
24,labh,15.25,915
29,labh,18.25,1095
30,labh,3.75,225
1,pate,5.75,345
2,pate,1.5,90
7,pate,8.5,510
9,pate,9.25,555
10,pate,7.25,435
12,pate,6.25,375
15,pate,3.25,195
24,pate,4.5,270
29,pate,7.5,450
30,pate,4.25,255
1,ev,13.25,795
2,ev,7,420
7,ev,19,1140
9,ev,18.25,1095
10,ev,14.5,870
12,ev,13.5,810
15,ev,6.25,375
24,ev,11.75,705
29,ev,18.5,1110
30,ev,8.75,525
1,butte,10.5,630
2,butte,3.5,210
7,butte,15.5,930
9,butte,14.5,870
10,butte,12.5,750
12,butte,11.5,690
15,butte,3.75,225
24,butte,10.75,645
29,butte,17.25,1035
30,butte,5.5,330
1,crottih,9.483333333,569
2,crottih,2.283333333,137
7,crottih,7.85,471
9,crottih,8.5,510
10,crottih,7.983333333,479
12,crottih,6.266666667,376
15,crottih,2.516666667,151
24,crottih,8.9,534
29,crottih,10.05,603
30,crottih,3.733333333,224
1,flw,15.5,930
2,flw,5.75,345
7,flw,14,840
9,flw,17.5,1050
10,flw,14.25,855
12,flw,9.5,570
15,flw,6,360
24,flw,20,1200
29,flw,21.25,1275
30,flw,8.25,495
1,labw,9,540
2,labw,5,300
7,labw,13.5,810
9,labw,13.5,810
10,labw,7.5,450
12,labw,12.5,750
15,labw,4.75,285
24,labw,11,660
29,labw,19,1140
30,labw,6,360
1,crottiw,9.35,561
2,crottiw,4.183333333,251
7,crottiw,10.83333333,650
9,crottiw,10.71666667,643
10,crottiw,8.433333333,506
12,crottiw,10.76666667,646
15,crottiw,3.283333333,197
24,crottiw,11.56666667,694
29,crottiw,15.8,948
30,crottiw,5.05,303
1,joh,11.08333333,665
2,joh,4.916666667,295
7,joh,14.41666667,865
9,joh,12.91666667,775
10,joh,10.25,615
12,joh,11.41666667,685
15,joh,4.166666667,250
24,joh,11.16666667,670
29,joh,21.66666667,1300
30,joh,5.916666667,355
