ChildID,method,minutes,seconds
1,obs,6,360
2,obs,2.5,150
7,obs,7,420
9,obs,4,240
10,obs,3,180
12,obs,6,360
15,obs,2,120
24,obs,4.5,270
29,obs,8.75,525
30,obs,3.5,210
1,flh,6.25,375
2,flh,2.5,150
7,flh,7,420
9,flh,6.25,375
10,flh,3.25,195
12,flh,10.25,615
15,flh,2.25,135
24,flh,4.75,285
29,flh,10.5,630
30,flh,2.75,165
1,labh,4.75,285
2,labh,2.25,135
7,labh,3.5,210
9,labh,3.25,195
10,labh,2.25,135
12,labh,4.25,255
15,labh,2.25,135
24,labh,3.25,195
29,labh,8.25,495
30,labh,2.75,165
1,pate,11.25,675
2,pate,3.5,210
7,pate,7.75,465
9,pate,6.75,405
10,pate,6.75,405
12,pate,10.75,645
15,pate,3.75,225
24,pate,18.25,1095
29,pate,24.25,1455
30,pate,5.5,330
1,ev,8,480
2,ev,2.25,135
7,ev,4.25,255
9,ev,3.75,225
10,ev,4.5,270
12,ev,6.75,405
15,ev,2.5,150
24,ev,13,780
29,ev,17.25,1035
30,ev,4.25,255
1,butte,9.5,570
2,butte,3,180
7,butte,5,300
9,butte,3.75,225
10,butte,4.75,285
12,butte,7,420
15,butte,3.5,210
24,butte,13.25,795
29,butte,17.5,1050
30,butte,5.25,315
1,crottih,7.45,447
2,crottih,2.766666667,166
7,crottih,6.166666667,370
9,crottih,5.216666667,313
10,crottih,3.183333333,191
12,crottih,9.066666667,544
15,crottih,2.916666667,175
24,crottih,7.216666667,433
29,crottih,13.61666667,817
30,crottih,3.45,207
1,flw,4.5,270
2,flw,2.75,165
7,flw,5.25,315
9,flw,5.25,315
10,flw,3,180
12,flw,8.5,510
15,flw,2.5,150
24,flw,4.5,270
29,flw,10,600
30,flw,2.5,150
1,labw,7.75,465
2,labw,3,180
7,labw,4.25,255
9,labw,5.75,345
10,labw,3.25,195
12,labw,5.25,315
15,labw,3,180
24,labw,12.75,765
29,labw,10.25,615
30,labw,4.75,285
1,crottiw,6.883333333,413
2,crottiw,2.866666667,172
7,crottiw,3.35,201
9,crottiw,4.766666667,286
10,crottiw,3.6,216
12,crottiw,5.25,315
15,crottiw,2.933333333,176
24,crottiw,9.35,561
29,crottiw,10.2,612
30,crottiw,3.633333333,218
1,joh,8.75,525
2,joh,3.333333333,200
7,joh,3.916666667,235
9,joh,5.416666667,325
10,joh,4.666666667,280
12,joh,6.083333333,365
15,joh,3.583333333,215
24,joh,13.25,795
29,joh,10.33333333,620
30,joh,5.083333333,305
