"ID","method","acc"
"subject.01","RF",87.8048780487805
"subject.02","RF",96.969696969697
"subject.07","RF",76.6666666666667
"subject.09","RF",77.3809523809524
"subject.10","RF",96.2962962962963
"subject.12","RF",76.8292682926829
"subject.15","RF",93.6170212765957
"subject.24","RF",84.6938775510204
"subject.29","RF",83.0985915492958
"subject.30","RF",87.7551020408163
"subject.01","Pate",57.3170731707317
"subject.02","Pate",48.4848484848485
"subject.07","Pate",44.4444444444444
"subject.09","Pate",47.6190476190476
"subject.10","Pate",49.3827160493827
"subject.12","Pate",37.8048780487805
"subject.15","Pate",76.5957446808511
"subject.24","Pate",31.6326530612245
"subject.29","Pate",40.1408450704225
"subject.30","Pate",65.3061224489796
"subject.01","Evenson",84.1463414634146
"subject.02","Evenson",78.7878787878788
"subject.07","Evenson",57.7777777777778
"subject.09","Evenson",80.9523809523809
"subject.10","Evenson",80.2469135802469
"subject.12","Evenson",51.219512195122
"subject.15","Evenson",89.3617021276596
"subject.24","Evenson",55.1020408163265
"subject.29","Evenson",50.7042253521127
"subject.30","Evenson",73.469387755102
"subject.01","Butte",78.0487804878049
"subject.02","Butte",54.5454545454545
"subject.07","Butte",64.4444444444444
"subject.09","Butte",67.8571428571429
"subject.10","Butte",75.3086419753086
"subject.12","Butte",53.6585365853659
"subject.15","Butte",80.8510638297872
"subject.24","Butte",55.1020408163265
"subject.29","Butte",54.2253521126761
"subject.30","Butte",71.4285714285714
"subject.01","Crotti_h",70.2878048780488
"subject.02","Crotti_h",56.4666666666667
"subject.07","Crotti_h",55.3555555555556
"subject.09","Crotti_h",42.1809523809524
"subject.10","Crotti_h",63.8740740740741
"subject.12","Crotti_h",67.8487804878049
"subject.15","Crotti_h",68.5234042553192
"subject.24","Crotti_h",62.2489795918367
"subject.29","Crotti_h",64.4478873239437
"subject.30","Crotti_h",75.5142857142857
