ChildID,method,minutes,seconds
1,obs,4,240
2,obs,4,240
7,obs,6.5,390
9,obs,2.25,135
10,obs,5.25,315
12,obs,6.5,390
15,obs,7.75,465
24,obs,5.25,315
29,obs,11,660
30,obs,5.25,315
1,flh,4.25,255
2,flh,3.75,225
7,flh,5.25,315
9,flh,2.75,165
10,flh,5.25,315
12,flh,6,360
15,flh,7.75,465
24,flh,5.25,315
29,flh,7.75,465
30,flh,5.5,330
1,labh,8.25,495
2,labh,8.25,495
7,labh,12.75,765
9,labh,12,720
10,labh,12.25,735
12,labh,9,540
15,labh,10.5,630
24,labh,10,600
29,labh,13,780
30,labh,9.75,585
1,pate,7.5,450
2,pate,7.25,435
7,pate,10.25,615
9,pate,9,540
10,pate,10.25,615
12,pate,7.5,450
15,pate,8.75,525
24,pate,5.75,345
29,pate,7.75,465
30,pate,6.5,390
1,ev,3.25,195
2,ev,3,180
7,ev,3.25,195
9,ev,3,180
10,ev,5.25,315
12,ev,4.25,255
15,ev,7,420
24,ev,3.75,225
29,ev,3.75,225
30,ev,3.25,195
1,butte,4.5,270
2,butte,5.75,345
7,butte,6,360
9,butte,6.75,405
10,butte,7,420
12,butte,6,360
15,butte,8.5,510
24,butte,4.5,270
29,butte,4.75,285
30,butte,5.5,330
1,crottih,7.566666667,454
2,crottih,7.25,435
7,crottih,12.51666667,751.0000002
9,crottih,11.38333333,682.9999998
10,crottih,13.08333333,784.9999998
12,crottih,9.4,564
15,crottih,10.45,627
24,crottih,12.38333333,742.9999998
29,crottih,15.9,954
30,crottih,9.1,546
1,flw,4.5,270
2,flw,3.75,225
7,flw,7.25,435
9,flw,2.25,135
10,flw,7,420
12,flw,6.5,390
15,flw,7.25,435
24,flw,4,240
29,flw,8.25,495
30,flw,5.5,330
1,labw,7.75,465
2,labw,4.25,255
7,labw,8.75,525
9,labw,5.75,345
10,labw,13.5,810
12,labw,6.75,405
15,labw,8,480
24,labw,4.75,285
29,labw,10.25,615
30,labw,5.5,330
1,crottiw,8.266666667,496
2,crottiw,5.25,315
7,crottiw,12.35,741
9,crottiw,9.616666667,577
10,crottiw,12.21666667,733.0000002
12,crottiw,8.716666667,523
15,crottiw,9.666666667,580
24,crottiw,7.583333333,455
29,crottiw,13.56666667,814.0000002
30,crottiw,7.6,456
1,joh,4.666666667,280
2,joh,4,240
7,joh,8.166666667,490
9,joh,6.75,405
10,joh,9.333333333,560
12,joh,7.166666667,430
15,joh,8.166666667,490
24,joh,4.083333333,245
29,joh,7.5,450
30,joh,5.25,315
